Country,State,City,Year,Month,Loss
India,Maharashtra,Akola,2024,January,3112
India,Maharashtra,Akola,2024,February,2145
India,Maharashtra,Akola,2024,March,4573
India,Maharashtra,Akola,2024,April,1081
India,Maharashtra,Akola,2024,May,4541
India,Maharashtra,Akola,2024,June,2247
India,Maharashtra,Akola,2024,July,747
India,Maharashtra,Akola,2024,August,4068
India,Maharashtra,Akola,2024,September,3496
India,Maharashtra,Akola,2024,October,4160
India,Maharashtra,Akola,2024,November,4135
India,Maharashtra,Akola,2024,December,4490
