Country,State,City,Year,Month,Loss
India,Maharashtra,Amravati,2024,January,4058
India,Maharashtra,Amravati,2024,February,2045
India,Maharashtra,Amravati,2024,March,3409
India,Maharashtra,Amravati,2024,April,3661
India,Maharashtra,Amravati,2024,May,3765
India,Maharashtra,Amravati,2024,June,3583
India,Maharashtra,Amravati,2024,July,2932
India,Maharashtra,Amravati,2024,August,806
India,Maharashtra,Amravati,2024,September,2812
India,Maharashtra,Amravati,2024,October,1016
India,Maharashtra,Amravati,2024,November,791
India,Maharashtra,Amravati,2024,December,3677
