Country,State,City,Year,Month,Loss
India,Maharashtra,Aurangabad,2021,January,606
India,Maharashtra,Aurangabad,2021,February,3208
India,Maharashtra,Aurangabad,2021,March,3966
India,Maharashtra,Aurangabad,2021,April,2829
India,Maharashtra,Aurangabad,2021,May,4896
India,Maharashtra,Aurangabad,2021,June,2929
India,Maharashtra,Aurangabad,2021,July,1786
India,Maharashtra,Aurangabad,2021,August,3720
India,Maharashtra,Aurangabad,2021,September,3413
India,Maharashtra,Aurangabad,2021,October,1426
India,Maharashtra,Aurangabad,2021,November,696
India,Maharashtra,Aurangabad,2021,December,3336
