Country,State,City,Year,Month,Loss
India,Maharashtra,Maharashtra,2019,January,4942
India,Maharashtra,Maharashtra,2019,February,1872
India,Maharashtra,Maharashtra,2019,March,3078
India,Maharashtra,Maharashtra,2019,April,2425
India,Maharashtra,Maharashtra,2019,May,3195
India,Maharashtra,Maharashtra,2019,June,4329
India,Maharashtra,Maharashtra,2019,July,2313
India,Maharashtra,Maharashtra,2019,August,4799
India,Maharashtra,Maharashtra,2019,September,676
India,Maharashtra,Maharashtra,2019,October,4998
India,Maharashtra,Maharashtra,2019,November,922
India,Maharashtra,Maharashtra,2019,December,928
