Country,State,City,Year,Month,Loss
India,Maharashtra,Nagpur,2023,January,1168
India,Maharashtra,Nagpur,2023,February,3928
India,Maharashtra,Nagpur,2023,March,4636
India,Maharashtra,Nagpur,2023,April,4600
India,Maharashtra,Nagpur,2023,May,2806
India,Maharashtra,Nagpur,2023,June,2058
India,Maharashtra,Nagpur,2023,July,2270
India,Maharashtra,Nagpur,2023,August,4464
India,Maharashtra,Nagpur,2023,September,2016
India,Maharashtra,Nagpur,2023,October,1199
India,Maharashtra,Nagpur,2023,November,2936
India,Maharashtra,Nagpur,2023,December,2884
