Country,State,City,Year,Month,Loss
India,Maharashtra,Yavatmal,2024,January,3664
India,Maharashtra,Yavatmal,2024,February,537
India,Maharashtra,Yavatmal,2024,March,4973
India,Maharashtra,Yavatmal,2024,April,3907
India,Maharashtra,Yavatmal,2024,May,3357
India,Maharashtra,Yavatmal,2024,June,3405
India,Maharashtra,Yavatmal,2024,July,2571
India,Maharashtra,Yavatmal,2024,August,1750
India,Maharashtra,Yavatmal,2024,September,3406
India,Maharashtra,Yavatmal,2024,October,3337
India,Maharashtra,Yavatmal,2024,November,1260
India,Maharashtra,Yavatmal,2024,December,3873
